ngram,hawkish,dovish
상회,2,0
요금 인상,2,0
위험 선호,2,0
매파,5,0
높,2,0
채권 가격 상승,0,4
변동성 확대,0,5
금리 하락,0,2
완화,0,2
감소,0,2
전망 국가,1,0
시황 중계 사이트 코인,0,1
정책 기조 전환,0,1
판매 둔화,1,0
문자 전화,2,0
대비 가장 크,1,0
전환 원달러환율 가량,0,1
지수 상승 마감 기술주,1,0
말 인플레,1,0
재무 성과,0,1
공매도 부분,1,0
예상치 대폭,0,2
중심 시장 금리,1,0
테이퍼링 예고,0,1
상회 실업률,0,1
대비 하반기,0,1
최대 증가율,1,0
집값 상승 기대,0,1
평가 투자의견 매수,0,1
금리 유로화,1,0
글로벌 인플레이션 우려,1,0
포인트 하락 기록 간밤,0,1
테이퍼링 리스크,1,0
경기 강하 반등,0,1
인플레이션 감안,0,1
기준 이후 최고치,0,2
연장 관련,1,0
속 은행,0,1
간 수도권,1,0
정책 대응 파급효과 면밀히 점검,0,1
코로나 백신 임상,1,0
최고 금리 기존,1,0
과도 확대,0,1
대출 증가세 확대,1,1
조정대상지역 지정,3,0
해결 정부,1,0
꼭대기,0,2
생태계 강화,0,1
부동산시장 자금,0,1
불안 정도,1,0
지원 예정 또,1,0
공정 영업 행위,0,1
유입 물가,0,2
연구 부,1,0
미국 국채 금리 출발 장중,0,1
속도 눈,2,0
미국 국채 금리 장 초반,0,1
연방준비제도의장 인플레이션 우려,0,1
주제 온라인,2,0
불가피 장기,0,1
진정 가운데,0,1
개인 투자자 매수세,0,1
일정 기간 완만,0,1
상승 거래 지수 마감,0,1
상승 거래 독일 증시 지수,1,0
상승 즉각,1,0
공급계획 발표,0,1
기준금리 도달,1,0
반전 어렵,0,1
보다 중점 통화정책 운용 필요,0,1
달러 매출액,0,1
회 저축은행,1,0
시장참가자 인플레이션,1,0
시장 러시아,0,1
삿,1,0
이외 중소형주 위주,0,1
모기지 금리 급등,1,0
개미 가장 많이,0,1
면세 한도,0,1
채무 규모,1,0
은행 지나치 이익 추구 비판,1,0
상반기 당기 순익 전년,1,0
공모 산정,1,0
대통령 주재 비상 경제 민생,0,1
하청 노동자,0,1
일괄 연장,0,2
주요 코인,0,2
점 물가,1,0
라인 증설,1,0
물가 금리 환율,1,0
산원 기준 아파트 매매,0,1
명복,0,1
시가총액 달러 아래,1,0
스텝 한미,1,0
미국 내년 경기,0,1
상반기 손실,0,1
국정 수행 긍정 평가,1,0
미시간대 소비자 심리,0,1
기대 소비,1,0
국제 금융시장 주요,0,1
대출 규제 압박,0,1
대출 한국은행,1,0
총량 관리 대출,1,0
국내 증시 외국인 투자자 매도세,1,0
디폴트 이슈,0,1
속 제고,1,0
현재 미국 블루칩 다우존스30산업평균지수,0,2
염 승환,1,0
기준 준수,1,0
재창 한은,1,0
자금 한은,0,4
규제 대거,0,1
반납 원대,1,0
변이 확산 경기,0,1
융자 확대,0,1
상생 결제 확산,0,1
달러지수 선,0,1
구조적 물가,3,0
사회 인프라,3,0
최악 인플레이션,1,0
배터리 핵심,0,1
올해 분기 사상,0,1
국채 금리 장단기,1,0
개선 방안 검토,1,0
믹 이후,0,1
미국 높 인플레이션,1,0
통화 금융당국 수장,2,0
마감 대형주 중심 지수 거래,0,2
직전 하락,2,0
범위 상단,0,1
실업수당 신청 계속 실업수당청구,1,0
반등 가능성 제기,0,2
중후반대 중심,1,0
정부 신혼 부부,1,0
신뢰 평가,2,0
전략 해외,1,0
실제 취급 적금 은행채,0,1
국고채 금리 거래일 대비 거래,1,0
영향 외국인 투자자,1,0
중국 추가 관세,2,0
발행 운용,1,0
협상 해결,1,0
하락 안전자산 선호,1,0
밀착 영업,0,1
사진 제공 달러환율,1,0
시가총액상위종목 상승 우위,1,0
증권카드,0,1
고용 부진 가운데,2,0
미국 기준금리 중립 금리,2,0
의미 국고채 금리 거래일 대비,1,0
간 저축,2,0
금융 민간,1,0
대상 부부 합산,0,1
운동 동맹,1,0
소수의견 소수의견,1,0
수출 양호 흐름,1,0
자체 판단,1,0
다르 국내,0,1
자금 제공,0,1
알권리,0,1
연준 연방공개시장위원회 정례회의 기준금리 포인트,1,0
발신,1,0
반대 레벨,1,0
금리 年,1,0
대체투자 비중 확대,1,0
상가 소규모 상가,1,0
관서,0,2
중 관계,0,1
살충제,1,0
투기과열지구 투기지역,0,1
테이퍼링 언급,0,1
금액 매월,0,2
이전 정부,0,2
벤치마크 미국 국채 금리,0,2
자료 금융,0,1
보이스피싱 일당,1,0
창업 기업 성장,0,1
모음,1,0
용,0,1
자금 제도,0,1
올해 내년 성장률 전망,1,0
원엔 환율 달러엔 환율,0,1
조달 중대 애로 발생 발생,1,0
마이너스 유가,0,1
기축통화 국인,0,1
무조건 거절,0,1
개포 우성,0,1
체계 고도화,1,0
하락 금리 하락 마감,1,0
경색 완화,0,1
미 통화스와프,0,1
생명 수전,1,0
각국 정부 코로나,1,0
디딤돌 버팀목 대출,0,1
장기 금리 크,0,1
코픽스 연동 주담대,0,1
인하 한국은행 기준금리,0,1
금리 너무 빨리,0,1
모니터링 대응,1,0
물길,0,2
건설업 제조업,0,2
국내 코로나,1,0
세정제,2,0
코로나 백신,1,0
